SPY
TCEHY
DAL
BABA
AMD
SOXL
ICLN
ARKK
QQQ
BOTZ
DHR
SQ
GOOG
AMZN
AL
IIPR
NMIH
XBIT
INMD
CODX
STNE
BKE
GV
TMO
AAPL
V
BBY
MA
ORCL
NKE
PLUG
AIQ
LULU
NVDA
NEE
TSLA
F
GE
CCL
NIO
SNAP
BABA
MRNA
JNJ
FB
NFLX
UBER
PFE
SBUX
DKNG
BIIB
